AnalyzedText	Analysis	Sequence	TextDeformation	AnalysisRecord	ExemplarUrn
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@λῦτο[1]	urn:cite:hmt:tokentypes.lexical	1	λῦτο	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_1.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@δ᾽[1]	urn:cite:hmt:tokentypes.lexical	2	δέ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_2.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@ἀγὼν[1]	urn:cite:hmt:tokentypes.lexical	3	ἀγὼν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_3.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@·[1]	urn:cite:hmt:tokentypes.punctuation	4	·	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_4.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@λαοὶ[1]	urn:cite:hmt:tokentypes.lexical	5	λαοὶ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_5.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@δὲ[1]	urn:cite:hmt:tokentypes.lexical	6	δὲ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_6.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@θοὰς[1]	urn:cite:hmt:tokentypes.lexical	7	θοὰς	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_7.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@ἐπὶ[1]	urn:cite:hmt:tokentypes.lexical	8	ἐπὶ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_8.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.8
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@νῆας[1]	urn:cite:hmt:tokentypes.lexical	9	νῆας	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_9.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.9
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.1@ἕκαστοι[1]	urn:cite:hmt:tokentypes.lexical	10	ἕκαστοι	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_10.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.1.10
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.2@ἐσκίδναντ'[1]	urn:cite:hmt:tokentypes.lexical	11	ἐσκίδναντo	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_11.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.2.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.2@ἰέναι[1]	urn:cite:hmt:tokentypes.lexical	12	ἰέναι	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_12.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.2.2
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.2@·[1]	urn:cite:hmt:tokentypes.punctuation	13	·	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_13.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.2.3
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.2@τοὶ[1]	urn:cite:hmt:tokentypes.lexical	14	τοὶ	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_14.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.2.4
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.2@μὲν[1]	urn:cite:hmt:tokentypes.lexical	15	μὲν	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_15.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.2.5
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.2@δόρποιο[1]	urn:cite:hmt:tokentypes.lexical	16	δόρποιο	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_16.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.2.6
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.2@μέδοντο[1]	urn:cite:hmt:tokentypes.lexical	17	μέδοντο	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_17.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.2.7
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.3@ὕπνου[1]	urn:cite:hmt:tokentypes.lexical	18	ὕπνου	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_18.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.3.1
urn:cts:greekLit:tlg0012.tlg001.graphDemo:24.3@τε[1]	urn:cite:hmt:tokentypes.lexical	19	τε	urn:cite:fufolio:cgsDemo.msA24syntaxTokens_19.v1	urn:cts:greekLit:tlg0012.tlg001.msA.st:24.3.2
